,mol_id,smiles,A,B,C,mu,alpha,homo,lumo,gap,r2,zpve,u0,u298,h298,g298,cv,u0_atom,u298_atom,h298_atom,g298_atom
132,gdb_133,CCCCC,17.04187,1.92713,1.82903,0.0603,56.8,-0.3105,0.0925,0.403,721.0614,0.160138,-197.629416,-197.622321,-197.621376,-197.659721,24.552,-1501.17723052,-1511.833588358,-1521.318386893,-1394.332528108
1701,gdb_1702,CC1(COC1)C#C,4.4388,2.15433,1.8589,1.4015,62.51,-0.2527,0.0414,0.2941,734.2967,0.123569,-308.462063,-308.454771,-308.453827,-308.493184,26.708,-1452.475002012,-1461.231262598,-1469.529441614,-1354.374010006
2150,gdb_2151,OC1CC=CC1O,3.721,3.03359,1.93442,1.0376,57.79,-0.2527,0.0085,0.2612,672.6549,0.126112,-345.658313,-345.651648,-345.650704,-345.688964,25.052,-1438.9477904991,-1448.096871719,-1456.395050735,-1340.295845591
3273,gdb_3274,N=C1OC2CCC12,5.6373,2.58349,2.11262,2.7501,58.21,-0.2587,0.0257,0.2844,635.8484,0.11516,-324.559733,-324.554024,-324.55308,-324.589253,21.796,-1365.159634698,-1374.020061778,-1381.725244789,-1272.43137475
4327,gdb_4328,c1c(ncoc1=O)O,4.26469,1.91886,1.32341,3.8272,56.02,-0.2532,-0.0591,0.1941,818.0404,0.073577,-434.607643,-434.601583,-434.600639,-434.63795,22.661,-1218.7090742421,-1224.682959922,-1230.608527409,-1143.577421672
5888,gdb_5889,CCCCC(C)(C)C,3.81752,0.84754,0.83576,0.0303,89.15,-0.296,0.0764,0.3724,1595.5845,0.244064,-315.494427,-315.48342,-315.482476,-315.530094,40.802,-2331.407405533,-2347.6078053861,-2362.428312948,-2160.4331658481
6174,gdb_6175,CC(O)C1CC1(C)C,3.21039,1.33704,1.1877,1.3684,78.78,-0.2529,0.077,0.3299,1158.0268,0.197607,-350.202606,-350.192618,-350.191674,-350.236808,37.186,-2012.296488709,-2025.581481748,-2038.03000529,-1866.888848211
7071,gdb_7072,CC(CC#N)OC=O,2.22139,1.75978,1.03887,5.846,62.89,-0.2872,-0.0024,0.2848,1086.1043,0.116709,-399.840501,-399.831772,-399.830828,-399.874805,29.524,-1500.820177899,-1508.674080543,-1516.97163205,-1401.71077893
8425,gdb_8426,CC1(C)CC2CN2C1,3.56584,1.68687,1.66296,1.5412,76.91,-0.2224,0.0809,0.3032,929.5746,0.189828,-329.115259,-329.107379,-329.106435,-329.146813,31.52,-1945.557141505,-1959.2763707721,-1971.131898309,-1805.1212548141
9547,gdb_9548,CCC1(C)CCC1C,2.59462,1.54074,1.44205,0.0893,84.81,-0.275,0.0808,0.3558,1099.1373,0.222766,-314.27514,-314.265628,-314.264684,-314.308431,36.656,-2194.1454593641,-2209.5068796841,-2223.141395236,-2035.051220067
10167,gdb_10168,C(CO)N(C=O)C=O,3.1831,1.45871,1.14047,6.3917,60.17,-0.2464,-0.0307,0.2157,1031.9512,0.116862,-436.963547,-436.954776,-436.953832,-436.997634,29.507,-1441.35679755,-1449.183717307,-1457.481268814,-1341.855205456
11308,gdb_11309,OC1CCN(C1)C=O,5.54694,1.23094,1.04877,3.8841,66.04,-0.2394,0.0258,0.2653,1082.2105,0.143298,-401.031245,-401.023318,-401.022374,-401.064133,28.55,-1620.171134681,-1630.305405031,-1639.788948548,-1506.802221196
12597,gdb_12598,NC1=NCC(=O)C1O,3.22629,2.1499,1.35185,1.4852,59.34,-0.2412,-0.0365,0.2047,853.9659,0.107565,-415.887119,-415.8797,-415.878756,-415.918721,27.663,-1381.469221117,-1389.255980298,-1396.9605358,-1287.041666797
13478,gdb_13479,NC(=O)N1CCC1=N,3.45505,1.87388,1.24703,1.4876,64.93,-0.2506,-0.0041,0.2466,925.854,0.120231,-396.018333,-396.010681,-396.009737,-396.050673,27.88,-1451.536248548,-1460.065350876,-1468.362902383,-1350.834231737
14159,gdb_14160,CC1(O)C2CC1C=C2,3.40076,2.28715,1.87835,1.2847,71.54,-0.2364,0.0034,0.2398,789.1559,0.154548,-347.773434,-347.766535,-347.765591,-347.803839,28.754,-1743.672435989,-1755.341593353,-1765.418132875,-1622.624067362
15737,gdb_15738,C1CC1C(=N)NC=O,3.37115,1.53794,1.15175,1.0066,69.15,-0.2553,-0.0222,0.2331,1028.1466,0.131437,-379.941121,-379.933223,-379.932279,-379.974683,28.319,-1551.689194984,-1560.953110351,-1569.843657863,-1445.376620204
16324,gdb_16325,OCC12CC1OC2=N,3.19412,2.05201,1.432,2.5323,62.42,-0.2613,0.0115,0.2728,858.8784,0.118981,-399.760927,-399.75369,-399.752746,-399.792679,27.034,-1450.886776733,-1459.676922805,-1467.974474312,-1350.1759747961
17639,gdb_17640,CC(C1CO1)C(C)=O,3.31801,1.35087,1.20606,2.408,68.02,-0.2442,-0.0174,0.2268,1080.478,0.150839,-384.940224,-384.931034,-384.930089,-384.975424,31.951,-1711.6588093361,-1721.8897160721,-1731.965628085,-1593.363322692
18906,gdb_18907,OC12C3C4C1CC2N34,3.51015,2.75349,2.23897,2.2949,62.9,-0.2135,0.0597,0.2732,670.3617,0.119911,-362.566331,-362.560501,-362.559557,-362.595831,24.085,-1465.451888132,-1475.1255668761,-1483.423118383,-1363.583959599
19036,gdb_19037,O=C1CN2CC3C2C13,4.16998,2.21647,1.87946,2.6286,64.08,-0.2209,-0.0154,0.2055,728.6238,0.121152,-362.635721,-362.629976,-362.629032,-362.665449,23.298,-1508.994737642,-1518.721754651,-1527.019306158,-1407.269881161
20433,gdb_20434,c1cnn2c1NCC2,4.88283,2.16617,1.54207,3.5299,67.1,-0.1986,0.0399,0.2385,787.2373,0.12397,-358.858273,-358.852311,-358.851367,-358.888275,23.218,-1487.773010771,-1497.363230818,-1505.660782325,-1385.8599015901
